Person Name,Email Address,Company Name,Job Title,Phone Number
John Doe,john.doe@global.com,GlobalTextiles,Manager,+1 234 567 890
Jane Smith,jane.smith@zenith.net,Zenith Consulting,Director,+1 234 567 891
John Doe,john.doe@global.com,GlobalTextiles,Senior Manager,+1 234 567 892
Mark Taylor,mark.t@vertex.com,Vertex Capital,Analyst,+1 234 567 893
Sarah Connor,sarah.c@sky.net,Skynet Sys,Engineer,+1 234 567 894
Jane Smith,jane.smith@zenith.net,Zenith Consult,Director,+1 234 567 895
Robert Paulson,rob.p@fightclub.com,Paper Street,Sales,+1 234 567 896
Michael Scott,m.scott@dunder.com,Dunder Mifflin,Regional Manager,+1 234 567 897
Michael Scott,m.scott@dunder.com,Dunder Mifflin Inc,Manager,+1 234 567 898
Bruce Wayne,b.wayne@wayne.com,Wayne Enterprises,CEO,+1 234 567 899
Clark Kent,c.kent@dailyplanet.com,Daily Planet,Reporter,+1 234 567 900
Sarah Connor,sarah.c@sky.net,Skynet Systems,Lead Engineer,+1 234 567 901
Alice Cooper,alice.c@techbox.com,TechBox Inc.,CEO,+1 234 567 902
Alice Cooper,alice.c@techbox.com,Tech Box,Founder,+1 234 567 903
Bob Marley,bob.m@reggae.com,One Love Ltd,Singer,+1 234 567 904
Charlie Brown,charlie.b@peanuts.com,Peanuts Corp,Student,+1 234 567 905
Charlie Brown,charlie.b@peanuts.com,Peanuts,Lead,+1 234 567 906
David Gandy,david.g@fashion.it,Dolce & Gabbana,Model,+1 234 567 907
David Gandy,david.g@fashion.it,Dolce Gabbana,Senior Model,+1 234 567 908
Ellen Ripley,ellen.r@weyland.com,Weyland-Yutani,Warrant Officer,+1 234 567 909
Frank Castle,frank.c@punisher.com,Marine Corps,Major,+1 234 567 910
Frank Castle,frank.c@punisher.com,Marine Corp,Sniper,+1 234 567 911
Geri Halliwell,geri.h@spice.co.uk,Spice Girls,Artist,+1 234 567 912
Harry Potter,harry.p@hogwarts.edu,Hogwarts School,Student,+1 234 567 913
Harry Potter,harry.p@hogwarts.edu,Hogwarts Academy,Wizard,+1 234 567 914
Ian Wright,ian.w@arsenal.com,Arsenal FC,Striker,+1 234 567 915
James Bond,james.b@mi6.gov.uk,MI6 Office,Agent 007,+1 234 567 916
James Bond,james.b@mi6.gov.uk,MI-6,Senior Agent,+1 234 567 917
Kathy Bates,kathy.b@misery.com,Misery Inc,Author,+1 234 567 918
Kathy Bates,kathy.b@misery.com,Misery,Writer,+1 234 567 919
Lara Croft,lara.c@tomb.com,Croft Manor,Explorer,+1 234 567 920
Marty McFly,marty.m@delorean.com,Hill Valley,Driver,+1 234 567 921
Marty McFly,marty.m@delorean.com,Hill Valley High,Student,+1 234 567 922
Nick Fury,nick.f@shield.gov,S.H.I.E.L.D.,Director,+1 234 567 923
Nick Fury,nick.f@shield.gov,SHIELD,Agent,+1 234 567 924
Oliver Queen,oliver.q@queen.com,Queen Cons.,CEO,+1 234 567 925
Oliver Queen,oliver.q@queen.com,Queen Consolidated,CEO,+1 234 567 926
Peter Parker,peter.p@dailybugle.com,Daily Bugle,Photographer,+1 234 567 927
Peter Parker,peter.p@dailybugle.com,The Daily Bugle,Reporter,+1 234 567 928
