Person Name,Email Address,Company Name,Job Title,Phone Number
Sarah Connor,sarah.c@sky.net,Global Textile,Engineer,+1 234 567 894
Michael Scott,m.scott@dunder.com,Global Textile,Regional Manager,+1 234 567 897
Clark Kent,c.kent@dailyplanet.com,Global Textile,Reporter,+1 234 567 900
Alice Cooper,alice.c@techbox.com,Global Textile,Founder,+1 234 567 903
Frank Castle,frank.c@punisher.com,Global Textile,Major,+1 234 567 910
Harry Potter,harry.p@hogwarts.edu,Global Textile,Student,+1 234 567 913
James Bond,james.b@mi6.gov.uk,Global Textile,Agent 007,+1 234 567 916
Kathy Bates,kathy.b@misery.com,Global Textile,Writer,+1 234 567 919
Marty McFly,marty.m@delorean.com,Global Textile,Driver,+1 234 567 921
Nick Fury,nick.f@shield.gov,Global Textile,Agent,+1 234 567 924
Peter Parker,peter.p@dailybugle.com,Global Textile,Reporter,+1 234 567 928
John Doe,john.doe@global.com,Global Textile,Manager,+1 234 567 890
Jane Smith,jane.smith@zenith.net,Global Textile,Director,+1 234 567 891
Mark Taylor,mark.t@vertex.com,Global Textile,Analyst,+1 234 567 893
Robert Paulson,rob.p@fightclub.com,Global Textile,Sales,+1 234 567 896
Bruce Wayne,b.wayne@wayne.com,Global Textile,CEO,+1 234 567 899
Bob Marley,bob.m@reggae.com,Global Textile,Singer,+1 234 567 904
Charlie Brown,charlie.b@peanuts.com,Global Textile,Student,+1 234 567 905
David Gandy,david.g@fashion.it,Global Textile,Model,+1 234 567 907
Ellen Ripley,ellen.r@weyland.com,Global Textile,Warrant Officer,+1 234 567 909
Geri Halliwell,geri.h@spice.co.uk,Global Textile,Artist,+1 234 567 912
Ian Wright,ian.w@arsenal.com,Global Textile,Striker,+1 234 567 915
Lara Croft,lara.c@tomb.com,Global Textile,Explorer,+1 234 567 920
Oliver Queen,oliver.q@queen.com,Global Textile,CEO,+1 234 567 925
